aaleniană, s.f.
nonfigurativ, adj.
nonformal, adj.
nonguvernamental, adj.
nonsubstanțial, adj.
nonviolent, adj.
noologic, adj.
noptatic, adj.
noptatic, adj.
noptos, adj.
nord-american, adj.
nord-coreean, adj.
nord-dunărean, adj.
nord-estic, adj.
nord-vestic, adj.
nord-vietnamez, adj.
nord, adj.
nordic, adj.
nordist, adj.
nordonat, adj.
noriu, adj.
normalist, adj.
normand, adj.
normat, adj.
normativ, adj.
normator, adj.
norocit, adj.
norocos, adj.
noroios, adj.
noroit, adj.
noros, adj.
norvegian, adj.
nosologic, adj.
nostalgic, adj.
notabil, adj.
notat, adj.
notificat, adj.
notist, adj.
notomorf, adj.
notoriu, adj.
nou-ales, adj.
nou-născut, adj.
nou-venit, adj.
nouros, adj.
nouvenit, adj.
novat, adj.
novator, adj.
novatoriu, adj.
novațian, adj.
novăcesc, adj.
novăcit, adj.
noțional, adj.
nuanțat, adj.
nubian, adj.
nucelar, adj.
nucifer, adj.
nucivor, adj.
nucleat, adj.
nucleofil, adj.
nucleofilic, adj.
nucleolat, adj.
nucleonic, adj.
nucleotid, adj.
nud, adj.
nudicol, adj.
nudiflor, adj.
nudist, adj.
nuizibil, adj.
nul, adj.
numbat, adj.
numenal, adj.
numerabil, adj.
numerar, adj.
numerativ, adj.
numeric, adj.
numeros, adj.
numerotat, adj.
numerotator, adj.
numismat, adj.
numismatic, adj.
numit, adj.
numitor, adj.
numular, adj.
numulitic, adj.
numărabil, adj.
numărat, adj.
numărător, adj.
nuncupativ, adj.
nuntit, adj.
nuntitor, adj.
nutant, adj.
nutrient, adj.
nutrit, adj.
nutritiv, adj.
nutritor, adj.
nutrițional, adj.
nuvelist, adj.
nuvelistic, adj.
năboit, adj.
năbuznat, adj.
năbușit, adj.
năbușitor, adj.
năbădăios, adj.
năbădăit, adj.
năclăios, adj.
năclăit, adj.
năcăjit, adj.
nădejduit, adj.
nădușit, adj.
nădușitor, adj.
nădăjduit, adj.
năimit, adj.
năimitor, adj.
nălbit, adj.
năltișor, adj.
nălucit, adj.
nălucitor, adj.
nălțat, adj.
nămețit, adj.
nămit, adj.
nămolit, adj.
nămolos, adj.
năpastnic, adj.
năplat, adj.
năprasnic, adj.
năprui, adj.
năpustit, adj.
năpârlit, adj.
năpădit, adj.
năpăstuit, adj.
năpăstuitor, adj.
nărtos, adj.
năruit, adj.
nărăvit, adj.
născocit, adj.
născocitor, adj.
născut, adj.
născător, adj.
năsilnic, adj.
năsipit, adj.
năsipos, adj.
năsos, adj.
năstașnic, adj.
năstrușnic, adj.
năstăvit, adj.
năsădit, adj.
năsăudean, adj.
nătâng, adj.
nătângit, adj.
nătântoc, adj.
nătăfleț, adj.
nătăfleț, adj.
nătărău, adj.
năucit, adj.
năucitor, adj.
năutiu, adj.
năvalnic, adj.
năvleg, adj.
năvodit, adj.
năvârlios, adj.
năvădit, adj.
năvălit, adj.
năvălitor, adj.
năzarnic, adj.
năzatic, adj.
năzatic, adj.
năzbâtios, adj.
năzdravan, adj.
năzdrăvan, adj.
năzuit, adj.
năzuros, adj.
năzărit, adj.
nășesc, adj.
nășit, adj.
obconic, adj.
obcordat, adj.
obezic, adj.
obicinuit, adj.
obidit, adj.
obidos, adj.
obiectat, adj.
obiectiv, adj.
obiectivant, adj.
obiectivat, adj.
obiectivist, adj.
obijduit, adj.
obijduitor, adj.
obișnuint, adj.
obișnuit, adj.
oblic, adj.
oblicat, adj.
oblicit, adj.
obligant, adj.
obligat, adj.
obligator, adj.
obligatoriu, adj.
obligațional, adj.
obliterat, adj.
oblojit, adj.
oblong, adj.
oblonit, adj.
oblu, adj.
oblăduit, adj.
oblăduitor, adj.
obnubilat, adj.
oboist, adj.
obosit, adj.
obositor, adj.
obovat, adj.
obovoid, adj.
obraznic, adj.
obrintit, adj.
obrocit, adj.
obrântit, adj.
obrăznicit, adj.
obrăzuit, adj.
obscur, adj.
obscurantist, adj.
obscurat, adj.
obsecvios, adj.
obsedat, adj.
observabil, adj.
observat, adj.
observativ, adj.
observator, adj.
observațional, adj.
obsesional, adj.
obsesiv, adj.
obsidional, adj.
obstacular, adj.
obstetric, adj.
obstinat, adj.
obstruat, adj.
obstructiv, adj.
obstructor, adj.
obstrucțional, adj.
obstrucționat, adj.
obstrucționist, adj.
obturat, adj.
obârșit, adj.
obădat, adj.
obștesc, adj.
obștit, adj.
obținut, adj.
ocazional, adj.
ocazionalist, adj.
ocazionat, adj.
occidentalist, adj.
oceanic, adj.
oceanografic, adj.
oceanologic, adj.
ochelarist, adj.
ocheșel, adj.
ochios, adj.
ochit, adj.
ochitor, adj.
ocitocic, adj.
oclusiv, adj.
ocnean, adj.
ocnițean, adj.
ocolit, adj.
ocolitor, adj.
ocrotit, adj.
ocrotitor, adj.
octacord, adj.
octaedric, adj.
octanic, adj.
octatlonist, adj.
octogonal, adj.
octopod, adj.
octosilabic, adj.
octroiat, adj.
octuplu, adj.
oculist, adj.
oculistic, adj.
oculistic, adj.
oculogir, adj.
oculomotor, adj.
ocultist, adj.
ocultistic, adj.
ocultistic, adj.
ocuparisit, adj.
ocupat, adj.
ocupator, adj.
ocupațional, adj.
ocârmuit, adj.
ocârmuitor, adj.
ocăit, adj.
ocărit, adj.
ocărâtor, adj.
odihnit, adj.
odihnitor, adj.
odinit, adj.
odios, adj.
odiseic, adj.
odografic, adj.
odometric, adj.
odontalgic, adj.
odontoid, adj.
odontologic, adj.
odorifer, adj.
odorific, adj.
odorogit, adj.
odrăslit, adj.
odrăslitor, adj.
oenologic, adj.
ofensat, adj.
ofensator, adj.
ofensiv, adj.
oferit, adj.
ofertat, adj.
oficial, adj.
oficiat, adj.
oficinal, adj.
oficios, adj.
ofilit, adj.
ofiofag, adj.
ofiologic, adj.
ofiomorfic, adj.
ofitic, adj.
ofitic, adj.
ofițeresc, adj.
ofițerit, adj.
oftalmic, adj.
oftalmologic, adj.
oftalmometric, adj.
oftalmoscopic, adj.
oftat, adj.
oftic, adj.
ofticat, adj.
ofticos, adj.
oftigos, adj.
ofuscat, adj.
ogarnic, adj.
oglindat, adj.
oglindit, adj.
oglinditor, adj.
oglindos, adj.
ogoiat, adj.
ogoit, adj.
ogurliu, adj.
ogârjit, adj.
ogăratic, adj.
ogăratic, adj.
ohabnic, adj.
ohavnic, adj.
ohmic, adj.
oinist, adj.
oleaginos, adj.
oleat, adj.
olecăit, adj.
olefinic, adj.
oleiat, adj.
oleic, adj.
oleios, adj.
oleofob, adj.
oleohidraulic, adj.
oleopneumatic, adj.
oleosperm, adj.
oleostatic, adj.
olfactic, adj.
olfactiv, adj.
olfactronic, adj.
olicăit, adj.
oligarhic, adj.
oligodinamic, adj.
oligotropic, adj.
olimpian, adj.
olimpic, adj.
oliv, adj.
olivar, adj.
olog, adj.
ologit, adj.
oloios, adj.
oloit, adj.
oltean, adj.
oltenesc, adj.
oltenit, adj.
olăcăit, adj.
omagiat, adj.
omanez, adj.
ombilicat, adj.
ombrogen, adj.
omenesc, adj.
omenit, adj.
omenos, adj.
omeric, adj.
omețit, adj.
omiat, adj.
omiletic, adj.
omiletic, adj.
omis, adj.
omisibil, adj.
omisiv, adj.
omnicol, adj.
omnicolor, adj.
omnidirecțional, adj.
omocentric, adj.
omofag, adj.
omofonic, adj.
omografic, adj.
omolog, adj.
omologabil, adj.
omologat, adj.
omologic, adj.
omonim, adj.
omonimic, adj.
omoplat, adj.
omopolar, adj.
omorganic, adj.
omorizic, adj.
omorâtor, adj.
omotaxic, adj.
omotetic, adj.
omotetic, adj.
oncologic, adj.
onctuos, adj.
ondulant, adj.
ondulat, adj.
ondulator, adj.
ondulatoriu, adj.
ondulos, adj.
ondulător, adj.
oneros, adj.
onest, adj.
oniric, adj.
onirist, adj.
onomasiologic, adj.
onomastic, adj.
onomatologic, adj.
onomatopeic, adj.
onomatopoetic, adj.
onomatopoetic, adj.
onorabil, adj.
onorat, adj.
onorific, adj.
ontic, adj.
ontic, adj.
ontogenetic, adj.
ontogenetic, adj.
ontogenez, adj.
ontogenic, adj.
ontogenist, adj.
ontogonic, adj.
ontologic, adj.
ontologist, adj.
onănăit, adj.
oofag, adj.
oolitic, adj.
oolitic, adj.
oologic, adj.
opacifiat, adj.
operabil, adj.
operat, adj.
operativ, adj.
operator, adj.
operațional, adj.
operaționalizabil, adj.
opercular, adj.
operculiform, adj.
operetistic, adj.
operetistic, adj.
opiaceu, adj.
opinat, adj.
opinent, adj.
opintic, adj.
opintit, adj.
opintitor, adj.
opiofag, adj.
oploșit, adj.
oportunist, adj.
opoterapic, adj.
opozabil, adj.
opozit, adj.
opozitiv, adj.
opozițional, adj.
opoziționist, adj.
opresant, adj.
opresiv, adj.
opresor, adj.
oprimat, adj.
oprit, adj.
opritor, adj.
optat, adj.
optativ, adj.
optic, adj.
optim, adj.
optimat, adj.
optimist, adj.
optimizabil, adj.
optoelectronic, adj.
optometric, adj.
opus, adj.
opăcit, adj.
opărit, adj.
opăritor, adj.
opțional, adj.
orajos, adj.
orant, adj.
orator, adj.
oratorian, adj.
oratoric, adj.
oratoriu, adj.
orbecat, adj.
orbecăit, adj.
orbesc, adj.
orbete, adj.
orbeț, adj.
orbit, adj.
orbitar, adj.
orbitor, adj.
orbăcăit, adj.
orbălțit, adj.
orchestrat, adj.
orchestrator, adj.
ordinal, adj.
ordinat, adj.
ordonanțat, adj.
ordonat, adj.
ordonator, adj.
ordovician, adj.
ordurier, adj.
orelist, adj.
orfevrier, adj.
orfic, adj.
organic, adj.
organicist, adj.
organismic, adj.
organist, adj.
organizabil, adj.
organizator, adj.
organizatoric, adj.
organizațional, adj.
organizaționist, adj.
organo-bromic, adj.
organo-cloric, adj.
organo-iodic, adj.
organogenetic, adj.
organografic, adj.
organoleptic, adj.
organoleptic, adj.
organologic, adj.
organometalic, adj.
orgasmic, adj.
orgastic, adj.
orgiastic, adj.
orgiastic, adj.
orgolios, adj.
orheian, adj.
orhitic, adj.
orhitic, adj.
orientabil, adj.
orientalist, adj.
orientat, adj.
orientativ, adj.
orientator, adj.
original, adj.
originat, adj.
oripilat, adj.
orizontic, adj.
ornamentat, adj.
ornamentist, adj.
ornat, adj.
ornitocor, adj.
ornitofag, adj.
ornitologic, adj.
ornitologist, adj.
orofit, adj.
orogenetic, adj.
orogenetic, adj.
orogenic, adj.
orografic, adj.
orohidrografic, adj.
orometric, adj.
oromorf, adj.
oropsit, adj.
ortic, adj.
ortocentric, adj.
ortocromatic, adj.
ortocromatic, adj.
ortoderivat, adj.
ortodiagonal, adj.
ortodocs, adj.
ortodontic, adj.
ortodontic, adj.
ortodox, adj.
ortodoxist, adj.
ortodromic, adj.
ortoedric, adj.
ortoepic, adj.
ortofizic, adj.
ortofonic, adj.
ortofosfat, adj.
ortogenic, adj.
ortogonal, adj.
ortografiat, adj.
ortografic, adj.
ortoman, adj.
ortomănesc, adj.
ortomănit, adj.
ortomănos, adj.
ortopancromatic, adj.
ortopancromatic, adj.
ortopedic, adj.
ortopedist, adj.
ortoptic, adj.
ortoptic, adj.
ortorombic, adj.
ortoscopic, adj.
ortosimpatic, adj.
ortosimpatic, adj.
ortostatic, adj.
ortostatic, adj.
ortotropic, adj.
ortăcit, adj.
orzar, adj.
orânduit, adj.
orânduitor, adj.
orăcăit, adj.
orădean, adj.
orășean, adj.
orășenesc, adj.
orășenit, adj.
orșovean, adj.
oscilant, adj.
oscilat, adj.
oscilator, adj.
oscilatoriu, adj.
oscilometric, adj.
oscitant, adj.
osculator, adj.
osebit, adj.
oselnic, adj.
osianic, adj.
osifer, adj.
osificat, adj.
osiform, adj.
osmanlâu, adj.
osmometric, adj.
osmotic, adj.
osmotic, adj.
osos, adj.
ospitalier, adj.
ospătarnic, adj.
ospătat, adj.
ospătos, adj.
ospătător, adj.
ostatic, adj.
osteit, adj.
ostenicios, adj.
ostenit, adj.
ostenitor, adj.
ostensiv, adj.
ostensiv, adj.
ostentativ, adj.
ostentatoriu, adj.
osteogenic, adj.
osteoid, adj.
osteolit, adj.
osteologic, adj.
ostic, adj.
ostic, adj.
ostoiat, adj.
ostoit, adj.
ostreicultor, adj.
ostrogotic, adj.
ostrogotic, adj.
ostrovean, adj.
ostășesc, adj.
ostășit, adj.
osândit, adj.
osânditor, adj.
osârdnic, adj.
osârduit, adj.
osârduitor, adj.
otalgic, adj.
otcârmuit, adj.
oticnit, adj.
otolaringologic, adj.
otolitic, adj.
otologic, adj.
otoman, adj.
otorinolaringologic, adj.
otosclerotic, adj.
otrăvicios, adj.
otrăvit, adj.
otrăvitor, adj.
otânjit, adj.
otăvit, adj.
ou, adj.
outor, adj.
ouător, adj.
ovarian, adj.
ovat, adj.
ovaționat, adj.
ovigen, adj.
oviger, adj.
ovilit, adj.
ovoid, adj.
oxalat, adj.
oxiacetilenic, adj.
oxibiotic, adj.
oxibiotic, adj.
oxidabil, adj.
oxidat, adj.
oxidativ-reductiv, adj.
oxidativ, adj.
oxidimetric, adj.
oxifob, adj.
oxigenat, adj.
oxilit, adj.
oximoronic, adj.
oxitonic, adj.
ozonat, adj.
ozonometric, adj.
oșean, adj.
oșenesc, adj.
oșenit, adj.
oștenesc, adj.
oștenit, adj.
oștinesc, adj.
oștinit, adj.
oțelit, adj.
oțeliu, adj.
oțerit, adj.
oțetit, adj.
oțetos, adj.
oțețit, adj.
oțios, adj.
oțărit, adj.
pachiderm, adj.
pacific, adj.
pacificat, adj.
pacificator, adj.
pacifist, adj.
pacinic, adj.
padelat, adj.
pag, adj.
paginabil, adj.
paginat, adj.
paginator, adj.
palavragit, adj.
palavragiu, adj.
paleal, adj.
palearctic, adj.
palearctic, adj.
paleat, adj.
paleativ, adj.
paleoantropologic, adj.
paleoarheologic, adj.
paleoarheologic, adj.
paleoastronautic, adj.
paleoastronautic, adj.
paleobiologic, adj.
paleobotanic, adj.
paleobotanist, adj.
paleoclimat, adj.
paleoclimatic, adj.
paleoecologic, adj.
paleoetnologic, adj.
paleofitologic, adj.
paleogeofizic, adj.
paleogeografic, adj.
paleografic, adj.
paleolitic, adj.
paleolitic, adj.
paleomagnetic, adj.
paleontografic, adj.
paleontologic, adj.
paleopatologic, adj.
paleopedologic, adj.
paleozoic, adj.
paleozoologic, adj.
palestinian, adj.
palestric, adj.
paliativ, adj.
palid, adj.
palindromic, adj.
palingenetic, adj.
palingenezic, adj.
palinodic, adj.
palinofag, adj.
palinologic, adj.
palisadic, adj.
palisat, adj.
palmat, adj.
palmatifid, adj.
palmitat, adj.
palmitic, adj.
palpabil, adj.
palpat, adj.
palpitat, adj.
palpitător, adj.
paludean, adj.
paludic, adj.
paludicol, adj.
paludos, adj.
palustru, adj.
pamat, adj.
pamfletist, adj.
pamfletăresc, adj.
pamfletărit, adj.
pamântesc, adj.
pamântit, adj.
panafrican, adj.
panamerican, adj.
panamericanist, adj.
panarabist, adj.
panard, adj.
panasiatic, adj.
panatenaic, adj.
panașat, adj.
pancreatic, adj.
pancreatic, adj.
pancromatic, adj.
pancromatic, adj.
pancronic, adj.
pandemic, adj.
pandit, adj.
panegirist, adj.
panelenic, adj.
panelenist, adj.
panelenistic, adj.
panelenistic, adj.
paneuropean, adj.
pangermanic, adj.
pangermanist, adj.
panic, adj.
panicard, adj.
panicat, adj.
paniculat, adj.
panificabil, adj.
panificat, adj.
panislamic, adj.
panlogist, adj.
pannaturist, adj.
panonian, adj.
panonic, adj.
panoptic, adj.
panoramic, adj.
panortodox, adj.
panromanic, adj.
pansat, adj.
pansinuzit, adj.
pansiv, adj.
panslav, adj.
panslavist, adj.
pantagruelic, adj.
pantalonar, adj.
panteist, adj.
panteistic, adj.
panteistic, adj.
pantoclast, adj.
pantocrator, adj.
pantofag, adj.
pantofar, adj.
pantograf, adj.
pantografic, adj.
pantometru, adj.
pantomim, adj.
pantomimic, adj.
pantopstat, adj.
pantotenic, adj.
pantrop, adj.
pantropic, adj.
panunional, adj.
papat, adj.
paperasier, adj.
papilionaceu, adj.
papilomatos, adj.
papilos, adj.
papirologic, adj.
papist, adj.
papistășesc, adj.
papistășit, adj.
papricat, adj.
papulos, adj.
para-școlar, adj.
paraaminobenzoic, adj.
paraaminosalicilic, adj.
parabil, adj.
parabiotic, adj.
parabiotic, adj.
parabolic, adj.
paraclinic, adj.
paradat, adj.
paradentar, adj.
paradigmatic, adj.
paradigmatic, adj.
paradis, adj.
paradisiac, adj.
paradit, adj.
paradosit, adj.
parafat, adj.
parafazic, adj.
parafernal, adj.
parafinat, adj.
parafinic, adj.
parafinos, adj.
parafrastic, adj.
parafrastic, adj.
parafrenic, adj.
paragenetic, adj.
paragenetic, adj.
paragogic, adj.
paraguayan, adj.
paralactic, adj.
paralactic, adj.
paralel, adj.
paralelipipedic, adj.
paralelizabil, adj.
paralelodrom, adj.
paralexematic, adj.
paralexematic, adj.
paralitic, adj.
paralitic, adj.
paralogic, adj.
paramagnetic, adj.
paramagnetic, adj.
paramedian, adj.
parametric, adj.
paranoic, adj.
paranoid, adj.
parantetic, adj.
parantetic, adj.
parapanghelos, adj.
paraplegic, adj.
paraponisit, adj.
parapsihic, adj.
parapsihologic, adj.
parasimpatic, adj.
parasintetic, adj.
parasintetic, adj.
parastisit, adj.
parat, adj.
paratactic, adj.
paratactic, adj.
paratific, adj.
paratifoid, adj.
paratirisit, adj.
paratiroid, adj.
parauniversal, adj.
paravaccinal, adj.
paravalisit, adj.
paravenos, adj.
parazit, adj.
parazitat, adj.
paraziticid, adj.
parazitofor, adj.
parazitolog, adj.
parazitologic, adj.
parazitologă, adj.
parașcolar, adj.
parașutabil, adj.
parașutat, adj.
parașutist, adj.
parcat, adj.
parcelat, adj.
parcelator, adj.
parchetat, adj.
parcimonios, adj.
parcurs, adj.
pardonabil, adj.
pardonat, adj.
pardosit, adj.
paremiologic, adj.
parenchimatic, adj.
parenchimatic, adj.
parenchimatos, adj.
parenetic, adj.
parenetic, adj.
parfumat, adj.
parfumator, adj.
parfumier, adj.
parhelic, adj.
pariat, adj.
paricid, adj.
parigorisit, adj.
paripenat, adj.
parisilabic, adj.
paritar, adj.
parizian, adj.
parkinsonian, adj.
parlamentar, adj.
parlamentarist, adj.
parlamentat, adj.
parnasian, adj.
parodiat, adj.
parodiator, adj.
parodic, adj.
parodist, adj.
parodistic, adj.
parodistic, adj.
parodontologic, adj.
parohian, adj.
parolat, adj.
parolist, adj.
paronim, adj.
paronimic, adj.
paronomastic, adj.
paronomastic, adj.
parotid, adj.
parotidian, adj.
paroxistic, adj.
paroxistic, adj.
partajabil, adj.
partajat, adj.
parteneriat, adj.
partenocarp, adj.
partenogenetic, adj.
partenogenetic, adj.
participat, adj.
participativ, adj.
particularist, adj.
particularistic, adj.
particularnic, adj.
partidar, adj.
partidic, adj.
partidist, adj.
partinic, adj.
partit, adj.
partitiv, adj.
partizan, adj.
partizanal, adj.
partizanat, adj.
partiționat, adj.
parvenit, adj.
parșiv, adj.
parțialnic, adj.
pasabil, adj.
pasat, adj.
pascual, adj.
paseist, adj.
pasional, adj.
pasionat, adj.
pasiv, adj.
pasivist, adj.
paspoalat, adj.
pastelat, adj.
pastelic, adj.
pastelist, adj.
pastifiant, adj.
pastișat, adj.
pastor, adj.
patafizic, adj.
patagonez, adj.
patelar, adj.
pateliform, adj.
patentat, adj.
pateriform, adj.
paternal, adj.
paternalist, adj.
patetic, adj.
patetic, adj.
patinat, adj.
patinator, adj.
patofit, adj.
patogenetic, adj.
patogenetic, adj.
patogenic, adj.
patognomonic, adj.
patologic, adj.
patologist, adj.
patriarhalist, adj.
patricial, adj.
patrician, adj.
patricid, adj.
patriliniar, adj.
patriotard, adj.
patriotic, adj.
patriotic, adj.
patristic, adj.
patristic, adj.
patrologic, adj.
patromorf, adj.
patronal, adj.
patronat, adj.
patronator, adj.
patrucolțurat, adj.
patrulat, adj.
patrulater, adj.
patruped, adj.
pauciflor, adj.
pavat, adj.
pavator, adj.
pavelat, adj.
pavimentos, adj.
pavlovian, adj.
pavlovist, adj.
pavogadisiac, adj.
pazvat, adj.
pașnic, adj.
pașoptist, adj.
pecabil, adj.
peceneg, adj.
pecetluit, adj.
pecinginos, adj.
pectic, adj.
pectic, adj.
pectiniform, adj.
peculat, adj.
peculiar, adj.
pedagogic, adj.
pedalat, adj.
pedantesc, adj.
pedantic, adj.
pedantic, adj.
pedantit, adj.
pedepsit, adj.
pedepsitor, adj.
pedestrit, adj.
pedestru, adj.
pediatric, adj.
pedicelat, adj.
pedichiurist, adj.
pediculat, adj.
pediform, adj.
pediman, adj.
pedios, adj.
pedoameliorativ, adj.
pedocentrist, adj.
pedoclimatic, adj.
pedofil, adj.
pedogenetic, adj.
pedogenetic, adj.
pedogenic, adj.
pedologic, adj.
pedunculat, adj.
pefugat, adj.
pegmatic, adj.
pegmatit, adj.
pehliv, adj.
pehlivan, adj.
peiorativ, adj.
peisagist, adj.
peisagistic, adj.
peisajer, adj.
pejorativ, adj.
peladic, adj.
pelagian, adj.
pelagic, adj.
pelagroid, adj.
pelagros, adj.
pelagrozin, adj.
pelasgic, adj.
pelegrin, adj.
pelicular, adj.
peliculogen, adj.
pelin, adj.
pelitic, adj.
pelofag, adj.
pelofil, adj.
pelogen, adj.
peltat, adj.
peltic, adj.
pelticeal, adj.
peltiform, adj.
peltinerv, adj.
pelucid, adj.
pelur, adj.
pelvian, adj.
pelviform, adj.
pelviperitonit, adj.
pempant, adj.
penal, adj.
penalic, adj.
penalist, adj.
penalizator, adj.
penat, adj.
penatifid, adj.
penatiform, adj.
penatilobat, adj.
penatipartit, adj.
penatisecat, adj.
pendularist, adj.
pendulat, adj.
penetrabil, adj.
penetrat, adj.
penian, adj.
penicilat, adj.
peninerv, adj.
penitențiar, adj.
pensat, adj.
pensionabil, adj.
pensionat, adj.
pensulat, adj.
pentacentenar, adj.
pentagonal, adj.
pentamer, adj.
pentapil, adj.
pentasilabic, adj.
pentasperm, adj.
pentatlonist, adj.
pentatonic, adj.
pentelic, adj.
peonic, adj.
pepenos, adj.
pepinierist, adj.
pepit, adj.
pepsic, adj.
peptidic, adj.
perceat, adj.
perceptibil, adj.
perceptiv, adj.
perceptor, adj.
perceptorat, adj.
perceput, adj.
percepțional, adj.
percepționist, adj.
percheziționat, adj.
perchiziționat, adj.
perciunat, adj.
perclorat, adj.
percutanat, adj.
percutat, adj.
percuționist, adj.
perdant, adj.
perdeluit, adj.
perdăfuit, adj.
peregrinat, adj.
peremptoriu, adj.
perenic, adj.
perfectat, adj.
perfectiv, adj.
perfecționat, adj.
perfecționist, adj.
perfid, adj.
perfin, adj.
perfoliat, adj.
perforat, adj.
perforator, adj.
performant, adj.
perfuzabil, adj.
pergamentos, adj.
periat, adj.
pericardic, adj.
pericarpatic, adj.
pericarpatic, adj.
pericentric, adj.
periclinal, adj.
periclinic, adj.
periclitat, adj.
pericranian, adj.
periculos, adj.
peridotit, adj.
perietor, adj.
periferic, adj.
perifrastic, adj.
perifrastic, adj.
perilimfatic, adj.
perilimfatic, adj.
perimat, adj.
perimetric, adj.
perimontan, adj.
perimuntos, adj.
perinatal, adj.
perindat, adj.
perineal, adj.
perinefritic, adj.
periodic, adj.
periodontic, adj.
periodontic, adj.
peripatetic, adj.
peripatetic, adj.
perisabil, adj.
periscopic, adj.
periselenar, adj.
peristaltic, adj.
peristaltic, adj.
peristilic, adj.
periterestru, adj.
peritoneal, adj.
perișcolar, adj.
perlat, adj.
perlier, adj.
perlifer, adj.
perlit, adj.
perlitic, adj.
permanganat, adj.
permanganic, adj.
permeabil, adj.
permian, adj.
permis, adj.
permisibil, adj.
permisiv, adj.
permisiv, adj.
permutabil, adj.
permutațional, adj.
pernicios, adj.
peronier, adj.
perorat, adj.
perpelit, adj.
perpetuat, adj.
persan, adj.
persecutant, adj.
persecutat, adj.
persecutor, adj.
persecutoriu, adj.
perseverat, adj.
persian, adj.
persiflator, adj.
personal, adj.
personalist, adj.
personificant, adj.
personificat, adj.
personificator, adj.
perspectiv, adj.
perspectivic, adj.
perspectivist, adj.
perspicace, adj.
persuadat, adj.
persuasiv, adj.
persulfat, adj.
pertractat, adj.
perturbat, adj.
perturbativ, adj.
perturbator, adj.
peruan, adj.
peruvian, adj.
pervaziv, adj.
pervers, adj.
pervertit, adj.
pervertitor, adj.
pescuit, adj.
pescuitor, adj.
pescăresc, adj.
pescărit, adj.
pesimist, adj.
pesticid, adj.
pestiferat, adj.
pestifug, adj.
pestos, adj.
pestric, adj.
pestrițat, adj.
petalifer, adj.
petaliform, adj.
petaloid, adj.
petecit, adj.
petetist, adj.
peticit, adj.
peticos, adj.
petit, adj.
petitoriu, adj.
petițional, adj.
petiționat, adj.
petrarchist, adj.
petrecut, adj.
petrecăreț, adj.
petrecător, adj.
petrificat, adj.
petrochimic, adj.
petrochimist, adj.
petrogenetic, adj.
petrogenetic, adj.
petrografic, adj.
petrolier, adj.
petrolifer, adj.
petrolist, adj.
petrologic, adj.
petroșenean, adj.
petroșănean, adj.
peșin, adj.
peștic, adj.
pețiolar, adj.
pețiolat, adj.
pețit, adj.
pețitor, adj.
phenomenal, adj.
pianist, adj.
pianistic, adj.
pianistic, adj.
piarist, adj.
picat, adj.
pichetat, adj.
picnit, adj.
picnometric, adj.
picotit, adj.
picrat, adj.
picromeritic, adj.
pictat, adj.
pictografic, adj.
pictor, adj.
picuit, adj.
picurat, adj.
pidosnic, adj.
pieitor, adj.
pielos, adj.
piemontan, adj.
piemontez, adj.
pieptiș, adj.
pieptos, adj.
pieptănat, adj.
pieptănător, adj.
pierit, adj.
pieritor, adj.
piersicat, adj.
piersiciu, adj.
piersăciu, adj.
pierzător, adj.
pietist, adj.
pietonal, adj.
pietonier, adj.
pietos, adj.
pietrean, adj.
pietrificat, adj.
pietros, adj.
pietruit, adj.
pieunat, adj.
piezișat, adj.
piezoceramic, adj.
piezoelectric, adj.
piezometric, adj.
piezorezistiv, adj.
pigmentat, adj.
pigulit, adj.
pilaci, adj.
pilduit, adj.
pilduitor, adj.
pileat, adj.
pilifer, adj.
pilit, adj.
pilonat, adj.
piloric, adj.
pilos, adj.
pilotat, adj.
pilular, adj.
pindaric, adj.
pineal, adj.
ping-pongist, adj.
pingelit, adj.
pingeluit, adj.
pingălit, adj.
pinifer, adj.
pintenat, adj.
pintenog, adj.
pionieresc, adj.
pionierit, adj.
pios, adj.
pipat, adj.
piperat, adj.
pipernicit, adj.
piperonal, adj.
pipit, adj.
pipăibil, adj.
pipăicios, adj.
pipăit, adj.
pipăitor, adj.
pipărat, adj.
pirat, adj.
piratat, adj.
pirateresc, adj.
piraterit, adj.
piraticesc, adj.
piraticit, adj.
piretic, adj.
piretic, adj.
piric, adj.
piritos, adj.
piroclastic, adj.
piroclastic, adj.
piroelectric, adj.
pirofil, adj.
pirofit, adj.
piroforic, adj.
pirogenetic, adj.
pirogravat, adj.
pirogravor, adj.
pirolignos, adj.
pirometric, adj.
pironit, adj.
piroscopic, adj.
pirotehnic, adj.
pirotermic, adj.
pirotit, adj.
piroxenic, adj.
pirpiriu, adj.
piruetat, adj.
piruit, adj.
pisat, adj.
piscicultor, adj.
piscivor, adj.
piscuit, adj.
pisicesc, adj.
pisicit, adj.
pisicos, adj.
pisiform, adj.
pisolitic, adj.
pisolitic, adj.
pistonat, adj.
pistruiat, adj.
pistuit, adj.
pisăgit, adj.
pisălogit, adj.
pisător, adj.
pitagoreic, adj.
pitagorian, adj.
pitagoric, adj.
pitecoid, adj.
piteștean, adj.
pitiatic, adj.
pitiatic, adj.
pitic, adj.
pitic, adj.
piticit, adj.
pitit, adj.
pitoresc, adj.
pitorit, adj.
pituitiv, adj.
pituitos, adj.
pitulat, adj.
piturat, adj.
piuat, adj.
piuit, adj.
piuitor, adj.
pivotat, adj.
pizmuit, adj.
pizmuitor, adj.
pizmăreț, adj.
